SCRIP,NAME,SECTOR
538668,Naysaa Securities Ltd.,Finance - Stock Broking
DPWIRES,D.P. Wires Ltd.,Steel &amp; Iron Products
538706,Ultracab (India) Ltd.,Cable
PERFECT,Perfect Infraengineers Ltd.,Engineering
538713,Atishay Ltd.,IT - Software
538715,Dhabriya Polywood Ltd.,Plastic Products
538732,Vibrant Global Capital Ltd.,Finance - Investment
538731,Hanman Fit Ltd.,Amusement Parks-Recreation-Club
538733,Starlit Power Systems Ltd.,Metal - Non Ferrous
SHREEPUSHK,Shree Pushkar Chemicals &amp; Fertilisers Ltd.,Dyes &amp; Pigments
MEP,MEP Infrastructure Developers Ltd.,Engineering - Construction
538765,JLA Infraville Shoppers Ltd.,Retailing
538742,Panache Innovations Ltd.,Trading
538794,Jet Infraventure Ltd.,Construction - Real Estate
JALAN,Jalan Transolutions (India) Ltd.,Logistics
INTELLECT,Intellect Design Arena Ltd.,IT - Software
538778,Akashdeep Metal Industries Ltd.,Steel &amp; Iron Products
538817,Captain Pipes Ltd.,Rubber  Products
538812,Aanchal Ispat Ltd.,Steel &amp; Iron Products
LAURUSLABS,Laurus Labs Ltd.,Pharmaceuticals &amp; Drugs
ADANITRANS,Adani Transmission Ltd.,Trading
GREENLAM,Greenlam Industries Ltd.,Laminates-Decoratives
539042,AGI Infra Ltd.,Construction - Real Estate
539099,Athena Constructions Ltd.,Construction - Real Estate
538863,Sri Amarnath Finance Ltd.,Finance - NBFC
538860,Panafic Industrials Ltd.,Finance - NBFC
538921,Raghuvansh Agrofarms Ltd.,Agriculture
538874,Nexus Surgical And Medicare Ltd.,Finance - Stock Broking
HECPROJECT,HEC Infra Projects Ltd.,Engineering - Construction
538882,Emerald Finserv Ltd.,Finance - NBFC
SURYODAY,Suryoday Small Finance Bank Ltd.,Bank - Private
538897,Shri Niwas Leasing And Finance Ltd.,Finance - Investment
DTIL,Dhunseri Tea &amp; Industries Ltd.,Tea-Coffee
538918,Vani Commercials Ltd.,Finance - NBFC
538919,Skyline Ventures India Ltd.,Diversified
EQUITASBNK,Equitas Small Finance Bank Ltd.,Bank - Private
539017,Star Housing Finance Ltd.,Finance - Housing
ROUTE,Route Mobile Ltd.,IT - Software
538770,Crane Infrastructure Ltd.,Engineering - Construction
539041,SVP Housing Ltd.,Trading
539026,SSPN Finance Ltd.,Finance - Investment
KBCGLOBAL,KBC Global Ltd.,Construction - Real Estate
539009,GBL Industries Ltd.,Trading
DIAMONDYD,Prataap Snacks Ltd.,Consumer Food
539011,Chennai Ferrous Industries Ltd.,Steel-Sponge Iron-Pig Iron
539013,Gita Renewable Energy Ltd.,Power Generation-Distribution
539098,Filtra Consultants and Engineers Ltd.,Miscellaneous
539097,HKG Ltd.,Trading
539032,Fraser and Co Ltd.,Trading
539040,Tirupati Tyres Ltd.,Trading
BKMINDST,BKM Industries Ltd.,Engineering - Industrial Equipments
CMMIPL,CMM Infraprojects Ltd.,Construction - Real Estate
BALKRISHNA,Balkrishna Paper Mills Ltd.,Paper &amp; Paper Products
539110,Northlink Fiscal and Capital Services Ltd.,Finance - NBFC
542012,A-1 Acid Ltd.,Trading
BRNL,Bharat Road Network Ltd.,Engineering - Construction
INFIBEAM,Infibeam Avenues Ltd.,IT - Software
539662,BFL Asset Finvest Ltd.,Finance - NBFC
540652,Captain Technocast Ltd.,Castings-Forgings
539839,Franklin Leasing And Finance Ltd.,Finance - NBFC
539228,Gala Global Products Ltd.,Printing &amp; Stationery
INFOBEAN,Infobeans Technologies Ltd.,IT - Software
JIYAECO,Jiya Eco-Products Ltd.,Petrochemicals
539229,Majestic Research Services And Solutions Ltd.,Miscellaneous
CARTRADE,CarTrade Tech Ltd.,Automobiles - Dealers &amp; Distributors
540079,Sprayking Agro Equipment Ltd.,Engineering - Industrial Equipments
539428,Tejnaksh Healthcare Ltd.,Hospital &amp; Healthcare Services
541741,Tinna Trade Ltd.,Trading
TIRUPATIFL,Tirupati Forge Ltd.,Forgings
539398,Vishal Bearings Ltd.,Bearings
541167,Yasho Industries Ltd.,Chemicals
539123,VB Industries Ltd.,Finance - Investment
539131,Crescent Leasing Ltd.,Finance - NBFC
539151,Arfin India Ltd.,Aluminium &amp; Aluminium Products
539406,Swagtam Trading &amp; Services Ltd.,Miscellaneous
539216,Garment Mantra Lifestyle Ltd.,Textile
539223,Ambition Mica Ltd.,Laminates-Decoratives
539220,Mishka Exim Ltd.,Trading
539197,Devhari Exports (India) Ltd.,Trading
539222,Growington Ventures India Ltd.,Travel Services
539226,Rudra Global Infra Products Ltd.,Steel &amp; Iron Products
539227,Loyal Equipments Ltd.,Engineering - Industrial Equipments
AURUM,Aurum Proptech Ltd.,IT - Software
539206,Genomic Valley Biotech Ltd.,Agriculture
MHHL,Mohini Health &amp; Hygiene Ltd.,Textile
539265,Amrapali Fincap Ltd.,Finance - NBFC
539273,Pecos Hotels and Pubs Ltd.,Hotel
539235,Grandeur Products Ltd.,Trading
539246,Jyotirgamya Enterprises Ltd.,Trading
539275,Mangalam Seeds Ltd.,Agriculture
540204,Eiko Lifesciences Ltd.,Finance - Investment
AWHCL,Antony Waste Handling Cell Ltd.,Miscellaneous
539637,Blueblood Ventures Ltd.,Finance - Stock Broking
539680,Ganga Pharmaceuticals Ltd.,Pharmaceuticals &amp; Drugs
HINDCON,Hindcon Chemicals Ltd.,Chemicals
539337,Waaree Technologies Ltd.,Plastic Products
VIKASLIFE,Vikas Lifecare Ltd.,Petrochemicals
PAR,Par Drugs And Chemicals Ltd.,Chemicals
539402,Vaksons Automobiles Ltd.,Automobiles - Dealers &amp; Distributors
539963,Zeal Aqua Ltd.,Aquaculture
539267,DR Habeerbullah Life Sciences Ltd.,Trading
539274,Boston Leasing and Finance Ltd.,Finance - Investment
539314,Universal Auto Foundry Ltd.,Castings-Forgings
539310,Thinkink Picturez Ltd.,Film Production
539304,Canopy Finance Ltd.,Finance - NBFC
539311,Nishtha Finance and Investment (India) Ltd.,Finance - Investment
539363,Sri Krishna Constructions (India) Ltd.,Construction - Real Estate
AHIMSA,Ahimsa Industries Ltd.,Plastic Products
539399,Bella Casa Fashion &amp; Retail Ltd.,Textile
539403,Arambhan Hospitality Services Ltd.,Hotel
PRITIKAUTO,Pritika Auto Industries Ltd.,Engineering
IDFCFIRSTB,IDFC First Bank Ltd.,Bank - Private
539405,Decorous Investment &amp; Trading Co Ltd.,Finance - Investment
GENCON,Generic Engineering Construction And Projects Ltd.,Engineering - Construction
539410,Muzali Arts Ltd.,Trading
539433,Indo-Global Enterprises Ltd.,Hospital &amp; Healthcare Services
539455,Aryavan Enterprise Ltd.,Trading
539469,Panorama Studios International Ltd.,Film Production
539521,Navigant Corporate Advisors Ltd.,Finance - Investment
539486,Geetanjali Credit and Capital Ltd.,Finance - NBFC
539570,Acewin Agriteck Ltd.,Aquaculture
539495,Rajkot Investment Trust Ltd.,Finance - NBFC
539526,Suncare Traders Ltd.,Laminates-Decoratives
539519,Mayukh Dealtrade Ltd.,Trading
539545,Apoorva Leasing Finance And Investment Company Ltd.,Finance - Investment
BANDHANBNK,Bandhan Bank Ltd.,Bank - Private
539593,Shivansh Finserve Ltd.,Finance - Investment
539594,Mishtann Foods Ltd.,Trading
539584,Sharanam Infraproject and Trading Ltd.,Trading
539596,Delta Industrial Resources Ltd.,Finance - Investment
JSLHISAR,Jindal Stainless (Hisar) Ltd.,Steel &amp; Iron Products
MAXVIL,Max Ventures And Industries Ltd.,Finance - Investment
539607,Blue Cloud Softech Solutions Ltd.,IT - Software
539659,Vidli Restaurants Ltd.,Hotel
539621,BCL Enterprises Ltd.,Finance - NBFC
539686,KP Energy Ltd.,Engineering - Construction
PDMJEPAPER,Pudumjee Paper Products Ltd.,Paper &amp; Paper Products
539661,ACE Men Engg Works Ltd.,Trading
539679,Kapil Raj Finance Ltd.,Finance - NBFC
539673,Radhagobind Commercial Ltd.,Trading
539697,Hiliks Technologies Ltd.,Finance - Investment
WEALTH,Wealth First Portfolio Managers Ltd.,Finance - Investment
539760,Relicab Cable Manufacturing Ltd.,Cable
GOKULAGRO,Gokul Agro Resources Ltd.,Solvent  Extraction
539788,Khemani Distributors &amp; Marketing Ltd.,Trading
539800,CHD Chemicals Ltd.,Trading
539798,Umiya Tubes Ltd.,Steel &amp; Iron Products
539761,Vantage Knowledge Academy Ltd.,Educational Institutions
539843,Nintec Systems Ltd.,IT - Software
BIGBLOC,Bigbloc Construction Ltd.,Construction - Real Estate
539837,Raghav Productivity Enhancers Ltd.,Mining &amp; Minerals
539814,Le Lavoir Ltd.,Trading
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables - Domestic Appliances
539834,Balgopal Commercial Ltd.,Trading
539884,Darshan Orna Ltd.,Diamond  &amp;  Jewellery
539921,Shanti Educational Initiatives Ltd.,Educational Institutions
539854,Halder Venture Ltd.,Trading
SAGARDEEP,Sagardeep Alloys Ltd.,Metal - Non Ferrous
UNITEDPOLY,United Polyfab Gujarat Ltd.,Textile - Weaving
539997,Kwality Pharmaceuticals Ltd.,Pharmaceuticals &amp; Drugs
540072,Shiva Granito Export Ltd.,Ceramics-Marble-Granite-Sanitaryware
539985,Titaanium Ten Enterprise Ltd.,Textile
